20211109,4893202
20211110,4892941
20211111,4893995
20211112,4894116
20211113,4894116
20211114,4894116
20211115,4794066
20211116,4891906
20211117,4922580
20211118,4945392
20211119,4994442
20211120,5105731
20211121,5169389
20211122,5187247
20211123,5128206
20211124,5120723
20211125,4966731
20211126,5191436
20211127,5186345
20211128,5183263
20211129,5152911
20211130,5216432
20211201,5278885
20211202,5273382
20211203,5230399
20211204,5233834
20211205,4552657
20211206,4446857
20211207,4257698
20211208,4797007
20211209,4836993
20211210,4603780
20211211,4453964
20211212,4447351
20211213,4435448
20211214,4189743
20211215,4107975
20211216,3989136
20211217,4341947
20211218,4117707
20211219,4268035
20211220,4255034
20211221,4054305
20211222,4190383
20211223,4358454
20211224,4465765
20211225,4611615
20211226,4597545
20220103,4662833
